,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap
103,Brandon Scherff,RG,Jaguars,49500000,16500000,30000000,10000000,60.6,7.340000000000001
104,J.C. Jackson,CB,Patriots,82500000,16500000,40000000,8000000,48.5,7.340000000000001
105,Terence Steele,RT,Cowboys,82500000,16500000,23554000,4710800,28.6,7.340000000000001
106,Grady Jarrett,IDL,Falcons,49500000,16500000,34470588,11490196,69.6,7.340000000000001
107,Mike Evans,WR,Buccaneers,82500000,16500000,38258000,7651600,46.4,7.340000000000001
108,T.J. Hockenson,TE,Vikings,66000000,16500000,29292000,7323000,44.4,7.340000000000001
109,Cameron Heyward,IDL,Steelers,65600000,16400000,20250000,5062500,30.9,7.295
110,Emmanuel Ogbah,EDGE,Dolphins,65400000,16350000,32000000,8000000,48.9,7.273000000000001
111,Orlando Brown,LT,Bengals,64092000,16023000,31100000,7775000,48.5,7.127999999999999
112,Christian McCaffrey,RB,49ers,64063412,16015853,30062500,7515625,46.9,7.124
113,Jessie Bates III,S,Falcons,64020000,16005000,36000000,9000000,56.2,7.12
114,Joe Thuney,LG,Chiefs,80000000,16000000,31890000,6378000,39.9,7.117
115,Joel Bitonio,LG,Browns,48000000,16000000,14602942,4867647,30.4,7.117
116,Harrison Smith,S,Vikings,64000000,16000000,14179412,3544853,22.2,7.117
117,Jordan Mailata,LT,Eagles,64000000,16000000,18850000,4712500,29.5,7.117
118,Hunter Renfrow,WR,Raiders,31700000,15850000,14500000,7250000,45.7,7.051
119,Justin Simmons,S,Broncos,61000000,15250000,32100000,8025000,52.6,6.784
120,Zach Allen,IDL,Broncos,45750000,15250000,32500000,10833333,71.0,6.784
121,Courtland Sutton,WR,Broncos,60000000,15000000,18848944,4712236,31.4,6.673
122,Alvin Kamara,RB,Saints,75000000,15000000,17833000,3566600,23.8,6.673
123,Uchenna Nwosu,EDGE,Seahawks,45000000,15000000,16600000,5533333,36.9,6.673
124,Foyesade Oluokun,LB,Jaguars,45000000,15000000,28000000,9333333,62.2,6.673
125,Terron Armstead,LT,Dolphins,75000000,15000000,30120000,6024000,40.2,6.673
126,Haason Reddick,EDGE,Eagles,45000000,15000000,30000000,10000000,66.7,6.673
127,Odell Beckham Jr.,WR,Ravens,15000000,15000000,15000000,15000000,100.0,6.673
128,Jack Conklin,RT,Browns,60000000,15000000,13985000,3496250,23.3,6.673
129,George Kittle,TE,49ers,75000000,15000000,30000000,6000000,40.0,6.673
130,Taylor Decker,LT,Lions,59650000,14912500,29000000,7250000,48.6,6.6339999999999995
131,Carlton Davis,CB,Buccaneers,44500000,14833333,24500000,8166667,55.1,6.598
132,Eddie Jackson,S,Bears,58400000,14600000,22000000,5500000,37.7,6.494999999999999
133,Dion Dawkins,LT,Bills,58300000,14575000,29500441,7375110,50.6,6.483999999999999
134,Travis Kelce,TE,Chiefs,57250000,14312500,21000000,5250000,36.7,6.367000000000001
135,Dalvin Tomlinson,IDL,Browns,57000000,14250000,25000000,6250000,43.9,6.339
136,Dallas Goedert,TE,Eagles,57000000,14250000,14877549,3719387,26.1,6.339
137,Jason Kelce,C,Eagles,14250000,14250000,14250000,14250000,100.0,6.339
138,Wyatt Teller,RG,Browns,56800000,14200000,16591500,4147875,29.2,6.317
139,Matt Milano,LB,Bills,28330000,14165000,17150000,8575000,60.5,6.300999999999999
140,Budda Baker,S,Cardinals,28200000,14100000,13400000,6700000,47.5,6.272
141,Jonathan Taylor,RB,Colts,42000000,14000000,19347556,6449185,46.1,6.228
142,Marcus Williams,S,Ravens,70000000,14000000,17080000,3416000,24.4,6.228
143,Mark Andrews,TE,Ravens,56000000,14000000,30083059,7520765,53.7,6.228
144,Darius Slay,CB,Eagles,42000000,14000000,23000000,7666667,54.8,6.228
145,Randy Gregory,EDGE,49ers,69500000,13900000,28000000,5600000,40.3,6.183000000000001
146,John Franklin-Myers,EDGE,Jets,55000000,13750000,14815556,3703889,26.9,6.117
147,Evan Engram,TE,Jaguars,41250000,13750000,24000000,8000000,58.2,6.117
148,David Njoku,TE,Browns,54750000,13687500,17000000,4250000,31.1,6.089
149,Jordan Love,QB,Packers,13500000,13500000,13000000,13000000,96.3,6.005
150,Charvarius Ward,CB,49ers,40500000,13500000,18060000,6020000,44.6,6.005
151,Frank Ragnow,C,Lions,54000000,13500000,27960640,6990160,51.8,6.005
152,Josh Sweat,EDGE,Eagles,40000000,13333333,14920000,4973333,37.3,5.931
153,Joseph Noteboom,LT,Rams,40000000,13333333,16500000,5500000,41.3,5.931
154,Demarcus Lawrence,EDGE,Cowboys,40000000,13333333,30000000,10000000,75.0,5.931
155,Laken Tomlinson,LG,Jets,40000000,13333333,23900000,7966667,59.8,5.931
156,Cameron Jordan,EDGE,Saints,26500000,13250000,28482647,14241324,100.0,5.894
157,D.J. Reader,IDL,Bengals,53000000,13250000,20250000,5062500,38.2,5.894
158,Carl Granderson,EDGE,Saints,52000000,13000000,22130000,5532500,42.6,5.783
159,Preston Smith,EDGE,Packers,52000000,13000000,12200000,3050000,23.5,5.783
160,Ryan Jensen,C,Buccaneers,39000000,13000000,23000000,7666667,59.0,5.783
161,DeAndre Hopkins,WR,Titans,26000000,13000000,10980000,5490000,42.2,5.783
162,Marcus Davenport,EDGE,Vikings,13000000,13000000,10000000,10000000,76.9,5.783
163,Adoree' Jackson,CB,Giants,39000000,13000000,24500000,8166667,62.8,5.783
164,Jamel Dean,CB,Buccaneers,52000000,13000000,21500000,5375000,41.3,5.783
165,Quandre Diggs,S,Seahawks,39000000,13000000,13490000,4496667,34.6,5.783
166,Ben Powers,LG,Broncos,52000000,13000000,27000000,6750000,51.9,5.783
167,Dawson Knox,TE,Bills,52000000,13000000,19920000,4980000,38.3,5.783
168,James Bradberry,CB,Eagles,38000000,12666667,20000000,6666667,52.6,5.635
169,Kevin Byard,S,Eagles,25100000,12550000,7000000,3500000,27.9,5.583
170,Cole Kmet,TE,Bears,50000000,12500000,22893000,5723250,45.8,5.56
171,Jerome Baker,LB,Dolphins,37500000,12500000,20000000,6666667,53.3,5.56
172,Charles Leno Jr.,LT,Commanders,37000000,12500000,9000000,3000000,24.3,5.56
173,Hunter Henry,TE,Patriots,37500000,12500000,25000000,8333333,66.7,5.56
174,Derrick Henry,RB,Titans,50000000,12500000,25500000,6375000,51.0,5.56
175,Corey Linsley,C,Chargers,62500000,12500000,17000000,3400000,27.2,5.56
176,Ryan Kelly,C,Colts,49650000,12412500,25350000,6337500,51.1,5.522
177,Nick Chubb,RB,Browns,36600000,12200000,17133059,5711020,46.8,5.427
178,Grant Delpit,S,Browns,36000000,12000000,14909558,4969853,41.4,5.338
179,Erik McCoy,C,Saints,60000000,12000000,20090000,4018000,33.5,5.338
180,Jalen Thompson,S,Cardinals,36000000,12000000,20000000,6666667,55.6,5.338
181,Austin Jackson,RT,Dolphins,36000000,12000000,13066124,4355375,36.3,5.338
182,Josh Jacobs,RB,Raiders,11791000,11791000,10091000,10091000,85.6,5.244999999999999
183,Donte Jackson,CB,Panthers,35180000,11726667,16757500,5585833,47.6,5.216
184,Za'Darius Smith,EDGE,Browns,11677000,11677000,11677000,11677000,100.0,5.194
185,Shaquille Mason,RG,Texans,35000000,11666667,22000000,7333333,62.9,5.19
186,David Onyemata,IDL,Falcons,35000000,11666667,24500000,8166667,70.0,5.19
187,Maliek Collins,IDL,Texans,23000000,11500000,18500000,9250000,80.4,5.116
188,Kaleb McGary,RT,Falcons,34500000,11500000,15000000,5000000,43.5,5.116
189,Aaron Jones,RB,Packers,23000000,11500000,8520000,4260000,37.0,5.116
190,Curtis Samuel,WR,Commanders,34500000,11500000,21500000,7166667,62.3,5.116
191,Rob Havenstein,RT,Rams,34500000,11500000,13176471,4392157,38.2,5.116
192,Davon Hamilton,IDL,Jaguars,34500000,11500000,20000000,6666667,58.0,5.116
193,Michael Gallup,WR,Cowboys,57500000,11500000,23000000,4600000,40.0,5.116
194,Matt Judon,EDGE,Patriots,22500000,11250000,14000000,7000000,62.2,5.0040000000000004
195,Jakobi Meyers,WR,Raiders,33000000,11000000,16000000,5333333,48.5,4.893
196,D.J. Reed,CB,Jets,33000000,11000000,18000000,6000000,54.5,4.893
197,Allen Lazard,WR,Jets,44000000,11000000,22000000,5500000,50.0,4.893
198,Cesar Ruiz,RG,Saints,44000000,11000000,18188981,4547245,41.3,4.893
199,Cameron Sutton,CB,Lions,33000000,11000000,21000000,7000000,63.6,4.893
200,Tyler Boyd,WR,Bengals,43000000,10750000,9000000,2250000,20.9,4.782
201,Yannick Ngakoue,EDGE,Bears,10500000,10500000,9990000,9990000,95.1,4.671
202,Justin Reid,S,Chiefs,31500000,10500000,20485000,6828333,65.0,4.671
203,Davon Godchaux,IDL,Patriots,20800000,10400000,17850000,8925000,85.8,4.626
204,Cody Whitehair,LG,Bears,51250000,10250000,12026078,2405216,23.5,4.5600000000000005
205,Grover Stewart,IDL,Colts,30750000,10250000,5752824,1917608,18.7,4.5600000000000005
206,Zach Sieler,IDL,Dolphins,30750000,10250000,17725000,5908333,57.6,4.5600000000000005
207,Tony Pollard,RB,Cowboys,10091000,10091000,10091000,10091000,100.0,4.489
208,Saquon Barkley,RB,Giants,10091000,10091000,10091000,10091000,100.0,4.489
209,Taysom Hill,TE,Saints,40000000,10000000,10100000,2525000,25.3,4.4479999999999995
210,Michael Thomas,WR,Saints,10000000,10000000,6260000,6260000,62.6,4.4479999999999995
211,D.J. Jones,IDL,Broncos,30000000,10000000,20000000,6666667,66.7,4.4479999999999995
212,Darious Williams,CB,Jaguars,30000000,10000000,18000000,6000000,60.0,4.4479999999999995
213,Brandin Cooks,WR,Cowboys,20000000,10000000,12000000,6000000,60.0,4.4479999999999995
214,Stephon Gilmore,CB,Cowboys,20000000,10000000,9510000,4755000,47.6,4.4479999999999995
215,Marquez Valdes-Scantling,WR,Chiefs,30000000,10000000,8560000,2853333,28.5,4.4479999999999995
216,Kendall Fuller,CB,Commanders,40000000,10000000,13500000,3375000,33.8,4.4479999999999995
217,Bobby Okereke,LB,Giants,40000000,10000000,21800000,5450000,54.5,4.4479999999999995
218,De'Vondre Campbell,LB,Packers,50000000,10000000,15000000,3000000,30.0,4.4479999999999995
219,Fletcher Cox,IDL,Eagles,10000000,10000000,10000000,10000000,100.0,4.4479999999999995
220,Amani Hooker,S,Titans,30000000,10000000,17150000,5716667,57.2,4.4479999999999995
221,Nate Davis,RG,Bears,30000000,10000000,17500000,4375000,58.3,4.4479999999999995
222,Tim Patrick,WR,Broncos,30000000,10000000,13004000,4334667,43.3,4.4479999999999995
223,Duane Brown,LT,Jets,20000000,10000000,9000000,4500000,45.0,4.4479999999999995
224,Sam Hubbard,EDGE,Bengals,40000000,10000000,10000000,2500000,25.0,4.4479999999999995
225,Folorunso Fatukasi,IDL,Jaguars,30000000,10000000,20000000,6666667,66.7,4.4479999999999995
226,B.J. Hill,IDL,Bengals,30000000,10000000,13000000,4333333,43.3,4.4479999999999995
227,Chukwuma Okorafor,RT,Steelers,29250000,9750000,9250000,3083333,31.6,4.337
228,Sheldon Rankins,IDL,Texans,9750000,9750000,8500000,8500000,87.2,4.337
229,Mitch Morse,C,Bills,19500000,9750000,10640000,5320000,54.6,4.337
230,Andre Dillard,LT,Titans,29000000,9666666,10000000,3333333,34.5,4.3
231,Micah Hyde,S,Bills,19250000,9625000,9600000,4800000,49.9,4.282
232,Larry Ogunjobi,IDL,Steelers,28750000,9583333,12000000,4000000,41.7,4.263
233,Jonathan Jones,CB,Patriots,19000000,9500000,13000000,6500000,68.4,4.226
234,Bryce Young,QB,Panthers,37955074,9488769,37955074,9488769,100.0,4.221
235,Travon Walker,EDGE,Jaguars,37372624,9343156,37372624,9343156,100.0,4.156
236,Demario Davis,LB,Saints,28000000,9333333,7380000,2460000,26.4,4.152
237,Trevor Lawrence,QB,Jaguars,36793486,9198372,36793486,9198372,100.0,4.092
238,C.J. Stroud,QB,Texans,36279246,9069812,36279246,9069812,100.0,4.035
239,Logan Wilson,LB,Bengals,36000000,9000000,10000000,2500000,27.8,4.004
240,Carl Lawson,EDGE,Jets,9000000,9000000,8000000,8000000,88.9,4.004
241,Tyrann Mathieu,S,Saints,27000000,9000000,18000000,6000000,66.7,4.004
242,Aidan Hutchinson,EDGE,Lions,35715388,8928847,35715388,8928847,100.0,3.972
243,James Daniels,RG,Steelers,26500000,8833333,8750000,2916667,33.0,3.929
244,Will Anderson Jr.,EDGE,Texans,35212818,8803205,35212818,8803205,100.0,3.916
245,Zach Wilson,QB,Jets,35150680,8787695,35150680,8787670,100.0,3.909
246,Rayshawn Jenkins,S,Jaguars,35000000,8750000,16000000,4000000,45.7,3.8920000000000003
247,Austin Corbett,RG,Panthers,26250000,8750000,19600000,6533333,74.7,3.8920000000000003
248,Alex Cappa,RG,Bengals,35000000,8750000,11000000,2750000,31.4,3.8920000000000003
249,Byron Murphy,CB,Vikings,17500000,8750000,8100000,4050000,46.3,3.8920000000000003
250,Derek Stingley Jr.,CB,Texans,34657516,8664379,34657516,8664379,100.0,3.8539999999999996
251,Chase Young,EDGE,49ers,34563598,8640900,34563598,8640900,100.0,3.8440000000000003
252,Trey Lance,QB,Cowboys,34105258,8526315,34105258,8526315,100.0,3.7929999999999997
253,Russell Gage,WR,Buccaneers,17000000,8500000,7000000,3500000,41.2,3.781
254,JuJu Smith-Schuster,WR,Patriots,25500000,8500000,16000000,5333333,62.7,3.781
255,Tyler Higbee,TE,Rams,17000000,8500000,11075980,5537990,65.2,3.781
256,Anthony Richardson,QB,Colts,33994030,8498508,33994030,8498508,100.0,3.7800000000000002
257,Michael Davis,CB,Chargers,25200000,8400000,10000000,3333333,39.7,3.737
258,Ahmad Gardner,CB,Jets,33450798,8362700,33450798,8362700,100.0,3.7199999999999998
259,Tracy Walker,S,Lions,25000000,8333333,16000000,5333333,64.0,3.707
260,Adam Thielen,WR,Panthers,25000000,8333333,14000000,4666667,56.0,3.707
261,Kenny Moore,CB,Colts,33300000,8325000,9000000,2250000,27.0,3.703
262,Kyle Pitts,TE,Falcons,32910496,8227624,32910496,8227624,100.0,3.66
263,Dre Greenlaw,LB,49ers,16400000,8200000,7008301,3504151,42.7,3.6479999999999997
264,Logan Thomas,TE,Commanders,24065000,8021667,8100000,2700000,33.7,3.5680000000000005
265,Jacoby Brissett,QB,Commanders,8000000,8000000,7500000,7500000,93.8,3.5589999999999997
266,Isaac Seumalo,LG,Steelers,24000000,8000000,6950000,2316667,29.0,3.5589999999999997
267,Charles Omenihu,EDGE,Chiefs,16000000,8000000,8600000,4300000,53.8,3.5589999999999997
268,Andrew Wylie,RT,Commanders,24000000,8000000,12000000,4000000,50.0,3.5589999999999997
269,Taron Johnson,CB,Bills,24000000,8000000,9420000,3140000,39.3,3.5589999999999997
270,Zay Jones,WR,Jaguars,24000000,8000000,14000000,4666667,58.3,3.5589999999999997
271,Samson Ebukam,EDGE,Colts,24000000,8000000,10755000,3585000,44.8,3.5589999999999997
272,C.J. Uzomah,TE,Jets,24000000,8000000,15000000,5000000,62.5,3.5589999999999997
273,Will Dissly,TE,Seahawks,24000000,8000000,10340000,3446667,43.1,3.5589999999999997
274,Devon Witherspoon,CB,Seahawks,31861152,7965288,31861152,7965288,100.0,3.543
275,Kayvon Thibodeaux,EDGE,Giants,31339040,7834760,31339040,7834760,100.0,3.485
276,Ja'Marr Chase,WR,Bengals,30819642,7704911,30819642,7704911,100.0,3.427
277,Denico Autry,IDL,Titans,21500000,7666667,9000000,3000000,41.9,3.4099999999999997
278,Robert Woods,WR,Texans,15250000,7625000,10000000,5000000,65.6,3.392
279,Tua Tagovailoa,QB,Dolphins,30275436,7568859,30275436,7568859,100.0,3.367
280,Vonn Bell,S,Panthers,22500000,7500000,13000000,4333333,57.8,3.3360000000000003
281,Kevin Zeitler,RG,Ravens,22500000,7500000,16000000,5333333,71.1,3.3360000000000003
282,Avonte Maddox,CB,Eagles,22500000,7500000,8970221,2990074,39.9,3.3360000000000003
283,Marcus Maye,S,Saints,22500000,7500000,14500000,4833333,64.4,3.3360000000000003
284,Jonnu Smith,TE,Falcons,15000000,7500000,8500000,4250000,56.7,3.3360000000000003
285,Allen Robinson,WR,Steelers,15000000,7500000,5000000,2500000,33.3,3.3360000000000003
286,Connor McGovern,LG,Bills,22350000,7450000,9900000,3300000,44.3,3.314
287,Devin White,LB,Buccaneers,29315814,7328954,29315814,7328954,100.0,3.26
288,Trey Pipkins,RT,Chargers,21750000,7250000,13250000,4416667,60.9,3.225
289,Hayden Hurst,TE,Panthers,21750000,7250000,13000000,4333333,59.8,3.225
290,Chidobe Awuzie,CB,Bengals,21750000,7250000,7500000,2500000,34.5,3.225
291,Roy Robertson-Harris,IDL,Jaguars,21600000,7200000,14400000,4800000,66.7,3.2030000000000003
292,Kaden Elliss,LB,Falcons,21500000,7166667,10160000,10160000,47.3,3.1879999999999997
293,Connor Williams,C,Dolphins,14035000,7017500,8535000,4267500,60.8,3.1220000000000003
294,Paris Johnson Jr.,RT,Cardinals,28052460,7013115,28052460,7013115,100.0,3.1199999999999997
295,Austin Johnson,IDL,Chargers,14000000,7000000,10625000,5312500,75.9,3.114
296,Arden Key,EDGE,Titans,21000000,7000000,13000000,4333333,61.9,3.114
297,Donovan Wilson,S,Cowboys,21000000,7000000,13500000,4500000,64.3,3.114
298,DeMarcus Walker,IDL,Bears,21000000,7000000,10500000,3500000,50.0,3.114
299,Calais Campbell,IDL,Falcons,7000000,7000000,7000000,7000000,100.0,3.114
300,Patrick Peterson,CB,Steelers,14000000,7000000,5850000,2925000,41.8,3.114
301,Juan Thornhill,S,Browns,21000000,7000000,14000000,4666667,66.7,3.114
302,Rasul Douglas,CB,Bills,21000000,7000000,5300000,1766667,25.2,3.114
303,Taylor Heinicke,QB,Falcons,14000000,7000000,6320000,3160000,45.1,3.114
304,James Conner,RB,Cardinals,21000000,7000000,13500000,4500000,64.3,3.114
305,Josh Oliver,TE,Vikings,21000000,7000000,8200000,2733333,39.0,3.114
306,Leonard Floyd,EDGE,Bills,7000000,7000000,7000000,7000000,100.0,3.114
307,DaQuan Jones,IDL,Bills,14000000,7000000,10625000,5312500,75.9,3.114
308,Malik Hooker,S,Cowboys,21000000,7000000,11000000,3666667,52.4,3.114
309,Ikem Ekwonu,LT,Panthers,27568050,6892013,27568050,6892013,100.0,3.066
310,Jaylen Waddle,WR,Dolphins,27085996,6771499,27085996,6771499,100.0,3.012
311,Ja'Whaun Bentley,LB,Patriots,13500000,6750000,9000000,4500000,66.7,3.003
312,Germaine Pratt,LB,Bengals,20250000,6750000,7000000,2333333,34.6,3.003
313,Tyler Conklin,TE,Jets,20250000,6750000,10000000,3333333,49.4,3.003
